Tên,Link,Địa chỉ,Đánh giá,Số review,Mô tả ngắn,Giờ mở cửa,Giá tiền,Bình luận 1,Bình luận 2,Bình luận 3
Pizza Time - 279 Võ An Ninh,https://www.foody.vn/da-nang/pizza-time-279-vo-an-ninh,"279 Võ An Ninh, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.2,2,"Quán ăn-Ý- Cặp đôi, Gia đình, Giới văn phòng-Chi nhánh",10:00 - 22:00,15.000đ -100.000đ,"8.4Pizza Time - 279 Võ An NinhBánh ngon, đế mỏng, giòn. Giao qua còn nóng...Xem thêm","10Pizza Time - 279 Võ An NinhBánh ngon, mì ý ngon, gà lắc cũng ngon nốt 😅 đóng gói sạch sẽ,  đc mã km giảm tới 40k nên mua chừng này cả ship có 8 mươi mấy k😁 quá rẻ luôn...Xem thêm",Sửacommon_delete...Xem thêm
Quán Mậu - Bánh Tráng Thịt Heo,https://www.foody.vn/da-nang/quan-mau-banh-trang-thit-heo,"35 Đỗ Thúc Tịnh,Quận Cẩm Lệ,Đà Nẵng",7.2,83,"Quán ăn-Món Quảng- Gia đình, Giới văn phòng, Khách du lịch",10:00 - 20:30,60.000đ -165.000đ,"10Quán Mậu - Bánh Tráng Thịt HeoKhi bạn đọc comment này, bạn đã có thông tin của 1 hành trình đẹp với nhân viên thân thiện, nhiệt tình tư vấn với tour Tham quan Đà Nẵng- Hội An- Huế tiết kiệm với tour ghép đoàn Tuấn Dũng Travel
🌎 16 Phạm Kiệt- Ngũ Hành Sơn- Đà Nẵng
📲 Lh: 0934787036 Tuấn tour...Xem thêm","8.0Quán Mậu - Bánh Tráng Thịt HeoLâu lâu thèm bánh tráng cuốn là phí xe lên đaay liền á. Dù xa xa xíu mà ăn nó vừa ý mình nhất là rau sống cho một mâm riêng k hề keo kiệt, đủ tất tần tật các loại, có thơm cắt khúc quấn chung ăn ngọt ngào lém nè. Thịt cắt tay cực khéo mà thịt tươi nên mềm và thơm lắm. Đặt biệt là phải kể đến cái mắm, ngon mà mình thấy hơi mặn xíu, ai giống m thì xin chút đường gia giảm chanh nữa là dc...Xem thêm","9.2Quán Mậu bên Mẹ ngon hơn bên Con nhé- Lần trước mình có đi 1 lần nhưng ngồi bên kia. Lần này mình ngồi bên phía mà mình chụp ảnh nè. Là mở bán sáng tới 7h tối thôi. Còn Mậu kế bên thì bán đến tối. 
- Mình phân biệt được là khi mình ăn bên đây ko có khóm và thịt lại cắt khá dày hơn nhé. Mình ko ăn cay được nên mới kêu 1 chén nước chấm ko cay thì bên chỗ này đem ra vị nước chấm ngon hơn hẳn bên kia vì thực sự bên kia chỉ đem ra nước mắm nêm nguyên vị ko pha loãng nên khá mặn dành cho tín đồ ko ăn cay như mình. 
- Tiếp theo là đến ""THỊT"" thịt nó xắt dày hơn đó mấy bạn ạ. Thịt khá mềm và dày chất lượng hơn hẳn bên kia nhé. Ai ko tin ăn thử 2 bên sẽ biết nhen. Thế là mình có hỏi 2 bên là 1 hả chị. Thì chị bảo không bên là mẹ bên là con. Quán kia người em tách riêng ra bán. Chứ quán gốc là ở người anh. 
Theo cảm nhận của riêng em thì bên chỗ Mậu Mẹ ngon và chất lượng hơn Mậu Con. Giá cả thì bên MM bánh tráng chiên 5k bên MC thì 6k. Riêng cái thịt á các bạn siêu dày và chất lượng lắm luôn....Xem thêm"
Sano's Garden - Coffee & Smoothie,https://www.foody.vn/da-nang/sano-s-garden-coffee-smoothie,"7 - 9 Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.6,12,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",06:30 - 22:00,12.000đ -40.000đ,"10Sano's Garden - Coffee & SmoothieKhi bạn đọc comment này, bạn đã có thông tin của 1 hành trình đẹp với nhân viên thân thiện, nhiệt tình tư vấn với tour Tham quan Đà Nẵng- Hội An- Huế tiết kiệm với tour ghép đoàn Tuấn Dũng Travel
🌎 16 Phạm Kiệt- Ngũ Hành Sơn- Đà Nẵng
📲 Lh: 0934787036 Tuấn tour...Xem thêm","5.6Thái độ nhân viên quá tệXin ly nước lọc mà 3 lần mới đem ra, mặt thì nhăn nhó vô cảm
Gọi cf trứng thì nguội ngắt
Điểm công duy nhất là mát mẻ và có không gian cho trẻ em...Xem thêm","8.6Sano's Garden - Coffee & SmoothieSáng đi tụ tập cf ở đây quả thực vô cùng lý tưởng. Mình đến vào một ngày nắng hanh hanh hơi oi bức. Quán không gian rộng rãi thoáng, thực sự khá mát mẻ nha. Quán có nhiều góc ngồi ưa nhìn lắm nè.
Mình gọi ly đá xay uống ổn, vừa miệng nhưng không quá đặc sắc. Kem tươi đánh bông, không quá ngán. 
Nước chanh không quá gắt, decor ly xinh xẻo.
Giá cả trung bình từ 25- 35k. Khá ổn so với chất lượng.
Nhân viên phục vụ nhiệt tình, lịch sự. 
Nhìn chung mình khá hài lòng. Điểm đến thú vị cho buổi gặp gỡ bạn bè....Xem thêm"
Cơm Gà Gia Trần 1 - Đinh Gia Trinh,https://www.foody.vn/da-nang/com-ga-gia-tran-1-dinh-gia-trinh,"9 Đinh Gia Trinh, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.3,2,"Quán ăn-Món Việt- Gia đình, Giới văn phòng-Chi nhánh",10:00 - 21:00,20.000đ -45.000đ,"8.6Cơm Gà Gia TrầnNhắc đến cơm gà thì mỗi nơi đều có hàng quán ngon và nổi tiếng, nhưng hơi khó tìm quanh khu vực Hòa Xuân, Cẩm Lệ. Giờ đây mn đã có thể thưởng thức, nằm ở vị trí dễ tìm ngay ngã 3 Đô Đốc Lộc và Đinh Gia Trương, Cơm Gà Gia Trần có không gian bình dị, ko náo nhiệt đông đúc ở các tuyến đường khác nhưng chất lượng ko tầm thường đâu nha. Chưa tới 5p, món ăn đã bưng tới bàn, da gà chiên vàng giòn đều, ko bị cháy, ăn kèm với kim chi, dưa leo và đặc biệt nước sốt mề gà ko tanh nhưng đậm đà, đây như là một nét rất riêng của quán. Mình có thói quen ăn tới đâu xé tới đó rồi chấm tương ớt riêng, nếm được vị ngon từng thớ thịt một cách rõ nhất. Hạt cơm rời và mềm ko bị khô cứng, dễ ăn cho cả con nít và người lớn tuổi. Tớ đến vào giờ cao điểm buổi tối nhưng lượng khách ko mấy đông đúc. Ảnh này chụp khi tớ od về nhà ăn, lần ở quán ăn vội nên quên chụp choẹt một bàn dọn ra đầy đủ cho mn xem. Sorry mn nha....Xem thêm",10Cơm gà rất ngonĐi ngang qua thấy Quán này ghé vào ăn thử đúng là cơm gà ở đây rất ngon. Gà quay đặc biệt có vị thơm và đạm đà. Con tôi lúc nào cũng thích ăn gà quay tại đây....Xem thêm,Sửacommon_delete...Xem thêm
Royaltea - Trà Sữa & Ăn Vặt - Cách Mạng Tháng 8,https://www.foody.vn/da-nang/royaltea-tra-sua-an-vat-cach-mang-thang-8,"K383/29 Cách Mạng Tháng 8,Quận Cẩm Lệ,Đà Nẵng",6.4,13,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",08:00 - 22:00,25.000đ -35.000đ,"8.0Trà Sữa Royaltea - Phạm Cự LượngRoyal tea cách đây 1 năm thì nhiều quán lắm, nay toang hết rồi, còn chỉ có 2 quán bám trụ thôi. lâu lâu thèm trà trái cây royal nên đặt bên này về uống. quán đang sale giá còn khá rẻ á, chưa tới 30k nữa. ly mình gọi là trà trái cây nhiều đới royal. uống khá mát, mùi thơm, vị ngọt nhẹ, uống mát người, thêm 1 số loại trái cây nữa : dâu tây, cam vàng, táo, ăn xong có đồ dai mát mẻ cả người.
shipper giao hàng cũng nhanh đó
giá mua trên now rẻ hơn mua tại quán khá nhiều đó...Xem thêm","5.0Trà Sữa Royaltea - Phạm Cự LượngVị trà nhạt nhẽo , không có gì đặt biệt...Xem thêm",6.2Bình thường.Để gọi đây là 1 thương hiệu thì thật sự là chưa xứng tầm. Mình đã uống trà hoa hồng nhiều chỗ rồi rất thơm và ngon. Riêng trà ở quán này nó có mùi kinh khiếp và uống 1 ngụm xong bỏ nguyên ly. Về phần kem cheese nó sánh nhưng vẫn cứ bột bột và vị kem nó nhàn nhạt....Xem thêm
Trà Sữa Ông Thọ - Đinh Châu,https://www.foody.vn/da-nang/tra-sua-ong-tho-dinh-chau,"116 Đinh Châu, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",6.0,4,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng-Chi nhánh",07:00 - 22:00,10.000đ -30.000đ,"10Trà Sữa Ông Thọ - Đinh ChâuANH CHỊ CẦN XE  DU LỊCH TẠI ĐÀ NẴNG LÊN HỆ NGAY
𝑻𝒖𝒂̂́𝒏 𝑫𝒖̃𝒏𝒈 𝑻𝒓𝒂𝒗𝒆𝒍 cho thuê các dòng xe du lịch hiện đại, các hạng xe:
🌱 Xe 𝟕 chỗ: Innova, Fortuner
🌱 Xe 𝟏𝟔 chỗ: Ford, Solati
🌱 Xe 𝟐𝟗 chỗ: County, Samco, Thaco
🌱 Xe 𝟑𝟓 chỗ: Samco, Thaco
🌱 Xe 𝟒𝟓 chỗ: Univer
🌱Xe đón tiễn Sân bay giá rẻ
>> 𝑳𝒂́𝒊 𝒙𝒆 𝒌𝒊𝒏𝒉 𝒏𝒈𝒉𝒊𝒆̣̂𝒎, 𝒂𝒏 𝒕𝒐𝒂̀𝒏, 𝒄𝒉𝒖́𝒏𝒈 𝒕𝒐̂𝒊 𝒕𝒖̛̣ 𝒉𝒂̀𝒐 𝒍𝒖𝒐̂𝒏 đ𝒐̂̀𝒏𝒈 𝒉𝒂̀𝒏𝒉 𝒄𝒖̀𝒏𝒈 𝒒𝒖𝒚́ 𝒌𝒉𝒂́𝒄𝒉 𝒗𝒂̀ 𝒎𝒂𝒏𝒈 𝒍𝒂̣𝒊 𝒏𝒉𝒖̛̃𝒏𝒈 𝒄𝒉𝒖𝒚𝒆̂́𝒏 đ𝒊 𝒂𝒏 𝒕𝒐𝒂̀𝒏, 𝒕𝒓𝒐̣𝒏 𝒗𝒆̣𝒏.
🎡Với mong muốn được hợp tác lâu dài trong thời gian tới, quý đối tác có thể để lại mail, hoặc zalo e sẽ gửi bảng báo giá nha!
𝑅𝑎̂́𝑡 𝑚𝑜𝑛𝑔 đ𝑢̛𝑜̛̣𝑐 𝑠𝑢̛̣ 𝑢̉𝑛𝑔 ℎ𝑜̣̂ 𝑐𝑢̉𝑎 𝑄𝑢́𝑦 Đ𝑜̂́𝑖 𝑇𝑎́𝑐❤
📱𝐇𝐎𝐓𝐋𝐈𝐍𝐄/𝐙𝐚𝐥𝐨: 𝟬𝟵𝟯𝟰.𝟳𝟴𝟳.𝟬𝟯𝟲  (𝐠𝐚̣̆𝐩𝗧𝘂𝗮̂́𝗻)
𝑶̛̉ Đ𝑨̂𝑼 𝑪𝑶́ 𝑮𝑰𝑨́ 𝑹𝑬̉ - 𝑻𝑼𝑨̂́𝑵 𝑫𝑼̃𝑵𝑮 𝑻𝑹𝑨𝑽𝑬𝑳 𝑪𝑶̀𝑵 𝑪𝑶́ 𝑮𝑰𝑨́ 𝑹𝑬̉ 𝑯𝑶̛𝑵

📧𝐄𝐦𝐚𝐢𝐥 : tqtuan91@gmail.com
🏩𝐓𝐫𝐮̣ 𝐬𝐨̛̉ 𝐜𝐡𝐢́𝐧𝐡 : 16 Phạm Kiệt, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng.
🏩𝐏𝐡𝐨̀𝐧𝐠 𝐆𝐢𝐚𝐨 𝐃𝐢̣𝐜𝐡 𝐇𝐚̉𝐢 𝐂𝐡𝐚̂𝐮: 19 Nguyễn Cư Trinh, quận Hải Châu, Đà Nẵng...Xem thêm",1.0Phản hồiEm ơi trong trà đào có kiến...Xem thêm,"8.6Trà Sữa Ông Thọ - Đinh ChâuTrà sữa khá ok, vừa phải với giá tiền...Xem thêm"
Lá Coffee - Nguyễn Nhàn,https://www.foody.vn/da-nang/la-coffee-nguyen-nhan,"81 - 83 Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.4,1,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",07:00 - 22:00,10.000đ -30.000đ,"8.4Lá Coffee - Nguyễn NhànQuán không gian đẹp,  nước ok, nhân viên thân thiện, giá cả phải chăng, sẽ quay lại...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Blue Sky Coffee,https://www.foody.vn/da-nang/blue-sky-coffee,"99 Nguyễn Nhàn, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.0,1,Café/Dessert-Món Việt- Nhóm hội,07:00 - 22:00,10.000đ -30.000đ,"8.0Không gian khỏi phải chêLâu lâu đi mấy quán cà phê gần nhà phát hiện quán này. Không gian mát mẻ, thoải mái nghe tiếng nước chảy róc rách vui tai lắm. Mình gọi 1 ly bạc sỉu. Thấy uống cũng tạm được, không quá ngọt mà vẫn đậm đà vị cà phê. Tuy nhiên giá 20.000 đồng mình thấy chưa phù hợp, có vẻ hơi cao á. Chất lượng chỉ ngang ngửa mấy quán 15.000 đồng/ly thôi á. Nhân viên phục vụ ít nhưng nhanh nhẹn, gọi đồ uống gần như có ngay luôn nên không phải chờ đợi nhiều. Nói chung là thích không gian mát mẻ hơn là đồ uống, có thể sẽ ghé tiếp....Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Bánh Canh O Linh Xứ Huế - Ông Ích Đường,https://www.foody.vn/da-nang/banh-canh-o-linh-xu-hue-ong-ich-duong,"27 Ông Ích Đường, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",1.0,1,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 13:00,25.000đ -40.000đ,1.0Xin thêm tốp mở nhưnq k cho..nên bânh canh k cay k nqon ..Xin thêm tốp mỡ đer bánh cay nqon hơn nhưq k cho nên bánh canh k cay dẫn đến dở...Xem thêm,Sửacommon_delete...Xem thêm,...Xem thêm
Khu Sinh Thái Dã Ngoại Khuê Trung,https://www.foody.vn/da-nang/khu-sinh-thai-da-ngoai-khue-trung,"Thăng Long, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.7,199,"Nhà hàng,Du lịch sinh thái-Món Việt- Gia đình, Nhóm hội, Khách du lịch",09:00 - 22:00,150.000đ -300.000đ,9.0Khu Sinh Thái Dã Ngoại Khuê TrungĐộc và mới lạ!...Xem thêm,10Khu Sinh Thái Dã Ngoại Khuê TrungĐộc mới với lạ...Xem thêm,10Khu Sinh Thái Dã Ngoại Khuê TrungĐộc và mới lạ...Xem thêm
Asagi Store - Trái Cây Sạch,https://www.foody.vn/da-nang/asagi-store-trai-cay-sach,"38 Lê Vĩnh Khanh, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",7.8,5,"Shop Online,Mua sắm Online-Món Việt,Quốc tế- Gia đình-Chi nhánh",08:00 - 21:00,40.000đ -500.000đ,"8.2Asagi Store - Trái Cây SạchBữa ni tới mùa mận Hà Nội này rồi, thấy đau đau cũng bán hết. Mình mới phát hiện ra chỗ này bán mận lắc muối ớt khá ngon, lại có giao hàng deliverynow nữa nên khá là tiện lợi. Hôm nào mà buồn buồn miệng là đặt vài ly về ăn liền, đảm bảo tỉnh ngủ liền, có tinh thần làm việc liền ạ, hihi. Mận ở đây khá là ngon, muối cũng ngon, chỉ có điều hơi chua tí thôi ạ. Mình không ghiền đồ chua lấm mà ăn thấy cũng khá là ngon, càng ăn càng ghiền đó chứ....Xem thêm","7.2Asagi Store - Trái Cây SạchMột trong những tiệm bán trái cây yêu thích của mình luôn, Ngoài trái cây bán theo ký thì bên quán còn có trái cây takeaway và cả nước ép. Nếu bạn chưa từng thử thì nên oder một lần nước ép dưa gang bên này. Vị ngon không hề pha chút xíu gì luôn á, nguyên chất nhé. Set trái cây cũng okie. Ngon, tươi mà có điều shop hơi xa nên khi nào muốn ăn mình đều đặt qua deliveryNow cả....Xem thêm","7.4Asagi Store - Trái Cây SạchNắng nóng uống chai dưa lưới ép + ly mận lắc vs set trái cây. Vừa đẹp dáng còn ngon nữa nhé. Mình oder trên deli nên tổng chỉ có 75k thôi, quá rẻ nè. Nước ép ngon nên sẽ tiếp tục ủng hộ...Xem thêm"
Milano Coffee - Mẹ Thứ,https://www.foody.vn/da-nang/milano-coffee-me-thu,"318 Mẹ Thứ,Quận Cẩm Lệ,Đà Nẵng",9.3,2,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng-Chi nhánh",06:00 - 22:00,12.000đ -29.000đ,"10Cfe Milano muối, siêu ngon!Vẫn trung thành mỗi sáng 1 ly muối, mặn mặn, béo béo, rất đặc trưng của Milano....Xem thêm","8.6Cafe ngonHôm trước dịch nên ở nhà order thử trên now, nay qua quán uống luôn. Quán khá yên tĩnh, decor xanh mát mát. Mới uống thử cf vs trà sữa. Giá bình dân....Xem thêm",Sửacommon_delete...Xem thêm
Hùng My Quán - Gà Lên Mâm,https://www.foody.vn/da-nang/hung-my-quan-ga-len-mam,"302 Nguyễn Hữu Thọ,Quận Cẩm Lệ,Đà Nẵng",7.3,20,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",11:00 - 14:00,50.000đ -250.000đ,9.0không thấy sđt shop ơikhông thấy sđt shop ơi...Xem thêm,1.8...Mình đi 2ng gọi 1 gà lên mâm 1/2 con và 1 lẩu gà lá giang 1/2 con. Thật sự rất dở. Gà còn thua gà công nghiệp mình mua ngoài chợ. Vừa nhão vừa mỡ. Giá thì tương đối chát. Sẽ ko bao giờ quay lại...Xem thêm,"8.0Gà lên mâm ngonHùng My là cái tên nổi bật nhất cho món gà lên mâm đường Nguyễn Hữu Thọ, cách đây 9 năm lúc mình đã sinh viên đã nghe danh quán này và bây giờ vẫn vậy
Không gian hiện giờ rộng rãi, trang bị quạt đầy đủ cho những ngày nóng đổ lửa thế này mọi người nhé
Món chủ đạo là gà lên mâm, gà bóp thấm ăn cùng với xôi dẻo và lòng gà xào, cơm chiên ở đây siêu ngon hạt cơm giòn đĩa ú nụ, những món còn lại cá mú nướng, rau xào và canh cải thịt ổn
Giá cả phải chăng mỗi tội hơi xa trung tâm mọi người nhé...Xem thêm"
Momo Milk Tea - Tôn Đản,https://www.foody.vn/da-nang/momo-milk-tea-ton-dan,"384 Tôn Đản,Quận Cẩm Lệ,Đà Nẵng",8.0,1,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",08:00 - 22:00,15.000đ -20.000đ,"8.0Trà sữa Ăn vặt Giá rẻQuán này gần nhà mình. Hay tụ tập chị em trong nhà đi ăn vặt tám chuyện 😜
Quán ngồi vỉa hè, giá cả chủ yếu phục vụ học sinh svien nên khá rẻ. Nước uống 10k-20k. Đồ ăn từ 5k-15k. Mà lại ngon nữa...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Logo Foods - Bún Mắm & Ram Cuốn Cải - Bình Thái 1,https://www.foody.vn/da-nang/logo-foods-bun-mam-ram-cuon-cai-binh-thai-1,"121 Bình Thái 1,Quận Cẩm Lệ,Đà Nẵng",9.6,6,"Ăn vặt/vỉa hè,Quán ăn,Giao cơm văn phòng-Món Miền Trung- Sinh viên, Cặp đôi, Gia đình",07:00 - 22:00,25.000đ -30.000đ,"9.0ram cuốn cải & súpRau tươi sạch sẽ , ship 15,20 mà ram còn nóng giòn. súp ngon, giá cả hợp lí...Xem thêm","9.8Ngon, bổ, rẻ nha!Ngủ dậy đói bụng quá ăn quên chụp rồi. 
Ngon, sạch sẽ, chất lượng....Xem thêm","10Món ăn ở đây thật tuyệtRam cuốn cải giòn, ngon. Ship đến nơi còn nóng hổi. Rau sạch. Tuyệt vời...Xem thêm"
Rốt Quán - Trà Sữa & Ăn Vặt,https://www.foody.vn/da-nang/rot-quan-tra-sua-an-vat,"Ngã Tư Nhân Hòa 06 - Thu Bồn, P. Hoà Xuân,Quận Cẩm Lệ,Đà Nẵng",5.9,3,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Trẻ em",06:00 - 22:30,8.000đ -30.000đ,"2.6Thất vọngĂn hôm bữa giờ mới đánh giá được. Ảnh một đằng, chè một nẻo. Đặt 2 chè Thái, 1 sầu, 1 ko sầu. Ship tới 2 bịch ko sầu. Chè thì kiểu tủ đông bỏ xuống cho rã đông, ăn toàn dăm đá, thạch thì top lại, ăn là biết liền. 1 bịch 20k, chỉ leo queo vài miếng thạch, nhãn, và mít. Đã ko được số lượng thì cũng đc chất lượng, đằng này ko được gì, ko bằng 1 bịch chè thái của Liên hay Nana mà bán 20k. Bỏ tiền ra mua về mà ko ăn được hỏi có bực không?????......Xem thêm","8.8Rốt Quán - Trà Sữa & Ăn VặtĐang ở nhà mà thèm ăn thì chỉ có rốt cafe mới giúp giải thoát khỏi cơn thèm thôi . Nói chung đồ ăn vặt ở đây thì như mọi nơi còn món cacao thì mình góp ý quán là để cacao ở dưới chứ để trên nó gặp đá bị vốn cục k trộn lên được,chè thì ngon ôk hồng trà machiato mình thấy hơi nhạt -.- còn lại thì ôk hết mặc dù nhà mình xa nhưng shipper vẫn nhận đơn mình thấy rất hài lòng.Nói chung là quán này đáng để thử 1 lần .Nếu có dịp mình sẽ ghé quán...Xem thêm","6.4Rốt quán - Trà sữa & Ăn vặtRốt quán - Trà Sữa & Ăn vặt 
Địa chỉ : Ngã Tư Nhân Hòa 06 - Thu Bồn , Quận Cẩm Lệ , Đà Nẵng
Hôm nay trên shopee có deal quán này nên mình oder thử trà sữa xoài kem trứng muối với món kem chiên thần thánh. Trà sữa béo ngậy vị trà thơm siêu siêu ngon( hơi ngọt 1 tẹo với mình ) . Nhưng... kem chiên của mình k biết từ khi nào nó lại đc tự trở thành bánh FLAN luôn 😢  . Bản thân mình thấy quán này chưa ai review nên oder về review thử nên góp ý mng nên thử trà sữa ở quán nha và đừng oder kem chiên nhé!😔...Xem thêm"
